epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.93116,1.34587,3.71925,1.25626,0.00158,0.41894,0.08224,0.04881,1.09529,4.14958,1.03256,0.000545744,0.000545744,0.000545744
2,14.4266,1.11898,2.51835,1.10961,0.36096,0.54385,0.33222,0.21159,1.29846,3.09143,1.2271,0.00109051,0.00109051,0.00109051
3,20.1762,1.0513,2.05606,1.06441,0.45961,0.55907,0.40685,0.25565,1.31167,2.84699,1.24396,0.00162427,0.00162427,0.00162427
4,25.9612,0.96025,1.65982,1.01834,0.4475,0.76594,0.49687,0.33341,1.16249,1.87225,1.10431,0.00161749,0.00161749,0.00161749
5,31.5871,0.90676,1.39943,0.9812,0.47756,0.72197,0.49211,0.33683,1.08165,1.69629,1.06488,0.00160099,0.00160099,0.00160099
6,37.2732,0.846,1.21263,0.96081,0.42203,0.71772,0.47088,0.31549,1.13919,1.65771,1.10263,0.00158448,0.00158448,0.00158448
7,42.8248,0.79484,1.07175,0.93985,0.368,0.64069,0.35917,0.24564,1.17281,2.29222,1.12172,0.00156798,0.00156798,0.00156798
8,48.4192,0.7576,0.94155,0.91999,0.47541,0.6086,0.46674,0.31407,1.16438,1.86263,1.1431,0.00155148,0.00155148,0.00155148
9,53.936,0.71451,0.84554,0.90798,0.38243,0.67836,0.42925,0.29841,1.0773,2.16694,1.09096,0.00153497,0.00153497,0.00153497
10,59.614,0.66287,0.7301,0.88725,0.4749,0.75668,0.52892,0.36652,1.06625,1.4439,1.07316,0.00151847,0.00151847,0.00151847
11,65.2119,0.62602,0.62825,0.87776,0.45504,0.70376,0.48548,0.33756,1.13149,1.96425,1.12043,0.00150197,0.00150197,0.00150197
12,70.1089,0.59709,0.58065,0.86613,0.41222,0.65621,0.46115,0.30931,1.12914,2.03671,1.09868,0.00148546,0.00148546,0.00148546
13,75.08,0.58106,0.57849,0.85759,0.47552,0.58595,0.49962,0.34994,1.09212,1.54057,1.09022,0.00146896,0.00146896,0.00146896
14,80.0313,0.54425,0.48182,0.84596,0.46853,0.67251,0.52229,0.37377,1.08024,1.67423,1.0834,0.00145246,0.00145246,0.00145246
15,85.0249,0.53355,0.47435,0.84443,0.43696,0.72149,0.52763,0.3724,1.06277,1.71986,1.08586,0.00143595,0.00143595,0.00143595
16,90.3875,0.50032,0.43585,0.83406,0.54159,0.56632,0.54644,0.37093,1.11883,1.51474,1.11309,0.00141945,0.00141945,0.00141945
17,95.9625,0.4724,0.42159,0.82735,0.43356,0.69925,0.46997,0.32206,1.09117,1.83504,1.08018,0.00140295,0.00140295,0.00140295
18,101.541,0.45697,0.40906,0.8253,0.49025,0.63468,0.50541,0.34414,1.11326,2.13706,1.10793,0.00138644,0.00138644,0.00138644
19,107.103,0.4389,0.36959,0.81912,0.4542,0.69702,0.49499,0.3582,1.03219,1.89659,1.05799,0.00136994,0.00136994,0.00136994
20,112.749,0.4145,0.3471,0.81537,0.48507,0.69618,0.53147,0.38616,1.037,1.5953,1.06666,0.00135344,0.00135344,0.00135344
21,118.029,0.39358,0.33689,0.80831,0.43677,0.69152,0.46323,0.32615,1.08547,1.96461,1.0928,0.00133693,0.00133693,0.00133693
22,123.008,0.38653,0.30847,0.80675,0.48271,0.63813,0.45662,0.32439,1.0887,2.1478,1.10514,0.00132043,0.00132043,0.00132043
23,128.491,0.37326,0.29321,0.8026,0.45471,0.7083,0.46498,0.33231,1.06338,1.96176,1.08617,0.00130393,0.00130393,0.00130393
24,133.709,0.36795,0.28815,0.80099,0.46746,0.70749,0.5267,0.37295,1.03926,1.73767,1.05604,0.00128742,0.00128742,0.00128742
25,138.76,0.33758,0.27565,0.79472,0.47238,0.69058,0.51784,0.37032,1.05895,1.75988,1.07368,0.00127092,0.00127092,0.00127092
26,144.124,0.32522,0.26325,0.79497,0.51604,0.60412,0.49368,0.34336,1.06611,1.6664,1.08296,0.00125442,0.00125442,0.00125442
27,149.721,0.3042,0.24657,0.79048,0.45834,0.67723,0.49191,0.35018,1.07049,1.97807,1.08,0.00123791,0.00123791,0.00123791
28,154.654,0.29524,0.23915,0.78933,0.49964,0.69025,0.54433,0.3911,1.04077,1.7196,1.0728,0.00122141,0.00122141,0.00122141
29,159.668,0.28607,0.23478,0.78709,0.48735,0.71273,0.52143,0.37294,1.03058,1.81536,1.05831,0.00120491,0.00120491,0.00120491
30,164.828,0.27494,0.22595,0.78477,0.55513,0.57142,0.50266,0.35756,1.04301,1.60187,1.07927,0.0011884,0.0011884,0.0011884
