epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.78532,1.3945,3.48299,1.22487,0.00185,0.53086,0.12558,0.07682,1.11317,3.98018,1.04478,0.000545744,0.000545744,0.000545744
2,15.2282,1.23324,2.40177,1.13121,0.44061,0.46201,0.38038,0.26135,1.13796,3.05827,1.1447,0.00109051,0.00109051,0.00109051
3,20.3654,1.23152,2.06106,1.14485,0.43655,0.61356,0.4244,0.27642,1.33191,2.48782,1.27138,0.00162427,0.00162427,0.00162427
4,26.2272,1.22926,1.83597,1.13809,0.42456,0.60505,0.40392,0.28452,1.15407,2.13423,1.13055,0.00161749,0.00161749,0.00161749
5,32.1619,1.21213,1.61998,1.13098,0.44888,0.77892,0.48158,0.32776,1.0755,1.57019,1.06499,0.00160099,0.00160099,0.00160099
6,38.1232,1.18953,1.50787,1.12749,0.4628,0.80815,0.49079,0.33944,1.09742,1.43375,1.08108,0.00158448,0.00158448,0.00158448
7,43.923,1.15727,1.42367,1.10237,0.42168,0.74145,0.45799,0.29236,1.22504,1.75068,1.15055,0.00156798,0.00156798,0.00156798
8,49.6596,1.21295,1.39033,1.13829,0.42578,0.75369,0.44415,0.28564,1.22567,1.50906,1.15304,0.00155148,0.00155148,0.00155148
9,55.3653,1.13049,1.36563,1.10789,0.45162,0.7852,0.47518,0.33861,1.04694,1.33025,1.05956,0.00153497,0.00153497,0.00153497
10,61.0853,1.11035,1.2898,1.08974,0.43629,0.81395,0.49114,0.35533,0.98606,1.32351,1.04729,0.00151847,0.00151847,0.00151847
11,66.9399,1.09185,1.2618,1.0755,0.44628,0.75769,0.47879,0.34209,1.02843,1.35069,1.04012,0.00150197,0.00150197,0.00150197
12,72.6543,1.04385,1.22237,1.0681,0.45708,0.81603,0.48203,0.34017,1.05929,1.27896,1.05139,0.00148546,0.00148546,0.00148546
13,78.3869,1.026,1.19797,1.05245,0.45396,0.8199,0.48208,0.34134,1.02801,1.29857,1.04213,0.00146896,0.00146896,0.00146896
14,84.2282,1.0432,1.20378,1.04879,0.45638,0.7522,0.45856,0.32816,1.02547,1.36219,1.05703,0.00145246,0.00145246,0.00145246
15,89.9866,1.00316,1.18589,1.04969,0.46508,0.86388,0.49362,0.35321,1.01505,1.21339,1.04712,0.00143595,0.00143595,0.00143595
